ID	label_en	synonym_en	label_ja	synonym_ja	notification_number	Mondo
1200001	[Shitei] Spinal and bulbar muscular atrophy	SBMA|Kennedy disease	[指定] 球脊髄性筋萎縮症	Kennedy-Alter-Sung症候群|KAS	1	MONDO:0010735|MONDO:0016113
1200002	[Shitei] Amyotrophic lateral sclerosis	ALS	[指定] 筋萎縮性側索硬化症		2	MONDO:0004976
1200003	[Shitei] Spinal muscular atrophy	SMA	[指定] 脊髄性筋萎縮症		3	MONDO:0001516
1200008	[Shitei] Primary lateral sclerosis	PLS	[指定] 原発性側索硬化症		4	MONDO:0018155
1200009	[Shitei] Progressive supranuclear palsy	PSP	[指定] 進行性核上性麻痺		5	MONDO:0019037
1200010	[Shitei] Parkinson's disease	Parkinson disease|PD	[指定] パーキンソン病		6	MONDO:0005180
1200011	[Shitei] Corticobasal degeneration	CBD	[指定] 大脳皮質基底核変性症		7	MONDO:0022308|MONDO:0022880
1200012	[Shitei] Huntington's disease	Huntington disease	[指定] ハンチントン病		8	MONDO:0007739
1200013	[Shitei] Neuroacanthocytosis		[指定] 神経有棘赤血球症		9	MONDO:0016987
1200016	[Shitei] Charcot-Marie-Tooth disease	CMT	[指定] シャルコー・マリー・トゥース病		10	MONDO:0015626
1200020	[Shitei] Myasthenia gravis	MG	[指定] 重症筋無力症		11	MONDO:0009688
1200021	[Shitei] Congenital myasthenic syndrome	CMS	[指定] 先天性筋無力症候群		12	MONDO:0018940
1200022	[Shitei] Multiple sclerosis/Neuromyelitis optica spectrum disorders	MS/NMOSD|Multiple sclerosis/Neuromyelitis optica|MS/NMO	[指定] 多発性硬化症／視神経脊髄炎		13	
1200029	[Shitei] Chronic inflammatory demyelinating polyneuropathy/Multifocal motor neuropathy	CIDP/MMN	[指定] 慢性炎症性脱髄性多発神経炎／多巣性運動ニューロパチー		14	
1200032	[Shitei] Sporadic inclusion body myositis	sIBM	[指定] 封入体筋炎		15	MONDO:0007827
1200033	[Shitei] Crow-Fukase syndrome	POEMS syndrome|Polyneuropathy, organomegaly, endocrinopathy, M-protein, and skin changes syndrome	[指定] クロウ・深瀬症候群	POEMS症候群	16	MONDO:0017364
1200034	[Shitei] Multiple system atrophy	MSA	[指定] 多系統萎縮症		17	MONDO:0007803
1200037	[Shitei] Spinocerebellar degeneration	SCD	[指定] 脊髄小脳変性症		18	MONDO:0000437
1200055	[Shitei] Lysosomal storage disease		[指定] ライソゾーム病		19	MONDO:0002561
1200165	[Shitei] Adrenoleukodystrophy		[指定] 副腎白質ジストロフィー		20	MONDO:0018544
